group_id,image_link,text_ext,entity_name,entity_value
748919,https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,500.0 gram
916768,https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_volume,1.0 cup
459516,https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,0.709 gram
459516,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,0.709 gram
731432,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1400 milligram
149159,https://m.media-amazon.com/images/I/81N73b5khVL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,30.0 kilogram
308856,https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,10 kilogram to 15 kilogram
281678,https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,3.53 ounce
281678,https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,3.53 ounce
281678,https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,53 ounce
281678,https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,100 gram
731432,https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,200 gram
731432,https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,1 kilogram
731432,https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,200 gram
731432,https://m.media-amazon.com/images/I/91prZeizZnL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,200 gram
731432,https://m.media-amazon.com/images/I/31EvJszFVfL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,200 gram
252585,https://m.media-amazon.com/images/I/61wzlucTREL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_volume,4.0 gallon
299791,https://m.media-amazon.com/images/I/61sQ+qAKr4L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,2.7 gram
884560,https://m.media-amazon.com/images/I/81x77l2T5NL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,112 gram
179080,https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,4.1 kilogram
179080,https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",voltage,48.0 volt
866516,https://m.media-amazon.com/images/I/51WsuKKAVrL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,158.0 gram
866516,https://m.media-amazon.com/images/I/61XGDKap+JL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,158.0 gram
459516,https://m.media-amazon.com/images/I/715vVcWJxGL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,5000 milligram
524635,https://m.media-amazon.com/images/I/613v+2W4UwL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,18.55 gram
524635,https://m.media-amazon.com/images/I/71+fn9TWQmL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,18.55 gram
524635,https://m.media-amazon.com/images/I/71aKgRRQ2wL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,18.55 gram
524635,https://m.media-amazon.com/images/I/71rKXZJrh4L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,18.55 gram
524635,https://m.media-amazon.com/images/I/71D824lbRvL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,18.55 gram
730429,https://m.media-amazon.com/images/I/71004c9tzfL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,50.0 gram
881883,https://m.media-amazon.com/images/I/51bQPPtMqYL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,26.0 gram
179080,https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,800.0 watt
179080,https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",voltage,36.0 volt
601746,https://m.media-amazon.com/images/I/71IUuTJ8QwL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,330.0 pound
487566,https://m.media-amazon.com/images/I/915JHkwtcrL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,31.0 ounce
794161,https://m.media-amazon.com/images/I/71cjrYndwIL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,0.35 ounce
639090,https://m.media-amazon.com/images/I/81hnk2WXO3L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,35.0 gram
752266,https://m.media-amazon.com/images/I/61HXgujoxpL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,150.0 watt
752266,https://m.media-amazon.com/images/I/613G8GOyLSL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,150.0 watt
752266,https://m.media-amazon.com/images/I/71YyZ2iPyZL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,30.0 watt
752266,https://m.media-amazon.com/images/I/81K3JwUCnQL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,30.0 watt
299791,https://m.media-amazon.com/images/I/41wvffSxB4L.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,15.5 gram
237000,https://m.media-amazon.com/images/I/91cErO-KbLL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_weight,200.0 gram
179080,https://m.media-amazon.com/images/I/817vo3DcCNL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",wattage,250.0 watt
884560,https://m.media-amazon.com/images/I/61AHQ35poHL.jpg,"Invalid input type. Supporting format = string(file path or url), bytes, numpy array",item_volume,10.0 ounce
