group_id,image_link,text_ext,entity_name,entity_value
748919,https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,"PROPSS’

NAT

INGREDIENT MENAGER.

100% NATUREL

",item_weight,500.0 gram
916768,https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,"LEBENSMITTELECHT

Gish

GEPRAGTES

Designed in

LIZENZIERTE UND GESCHUTZTE DESIGNS
",item_volume,1.0 cup
459516,https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,"Serving Size: 1 Tablet (0.709 g) | Each serving contains (Approx. Values):

Ingredient Qty. / Serving

*PHOSPHOcomplex® Silybin (Sillybum marianum) 200 mg
Dandelion (Taraxacum officinale) leaf extract - 10:1 100 mg
Kutki (Picrorhiza kurroa)rhizome extract - 0.5% Bitters 50 mg
Kasani (Cichorium intybus) seed extract - 1% Bitters 25 mg
Punarnava (Boerhavia diffusa) root extract - 0.07% alkaloids 25 mg
Bhui amla (Phyllanthus amarus) WP extract - 0.5% Bitters 25 mg
Amla (Phyllanthus emblica) fruit extract - 10% Tannins 25 mg
Licorice (Glycyrrhiza glabra) root extract - 5% Glycyrrhizin 25 mg
Vitamin E 10 mg
Piper nigrum fruit extract — 95% Piperine 5mg

Nutrients Qty. / Serving

Energy 3.04 kcal
Carbohydrate O51g
(Sugars) 02g
Protein 0.049
Fat 0.09 g

""ZRDA values established as per ICMR 2010 for sedentary lifestyle-Men.
**Z RDA not established by ICMR

",item_weight,0.709 gram
459516,https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,"eG

bw ot
‘Bu sz
‘Bw sz
uz
use
fiw ez
fu 05
Sw oo.
bu

",item_weight,0.709 gram
731432,https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,"HIGH STRENGTH

PSYLLIUM

HUSK

",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,"¢ Naturally-Sourced Psyllium

—_

* High strength 1400mg

per serving S k
)
0 140 Onc | Plana

* Suitable for Vegans & Vegetarians

 ,

OVvaTs

7 365 ve | )

Horbaach
",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,"Directions: For adults, take two (2) vegan capsules
daily, preferably with a meal. Do not exceed stated dose.

Nutrition Information

Typically Per Daily Dose

HIGH ST 0 NSTI it Erte
Psyllium Husk Powder 1400mg

_PSYLLIUM
HUSK

PLANTSEEDS

Ingredients: Psyllium Husk Powder, Capsule Shell (Hy-
droxypropylmethylcellulose), Anti-Caking Agents (Mag-
nesium Salts of Fatty Acids, Silicon Dioxide).

May contain Sesame Seeds & Mustard. For allergens,
see the ingredients in bold.

Notice: Take this product with 220ml of fluids. Taking
this product without adequate fluid may cause the pos-
sibility of choking. Do not use this product if you have
difficulty swallowing. If you experience chest pain, vom-
iting or difficulty in swallowing or breathing after taking
this product, seek immediate medical attention. Do not
take before sleeping. Fibre products can affect the ab-
sorption of many medications. Do not take this product
within 1.5 hours of taking medication.

Free From: Artificial Colour, Artificial Flavour, Artificial
Sweetener, Preservatives.

SUITABLE FOR VEGETARIANS & VEGANS

HU16790 C

3 6 VEC :

Horbaach
",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,"VEGAN

WO

WHEAT
FREE

SOY

1GH §
pst
aot (a)

\ DAIRY
365: veoh y FREE
é
FREE FROM

PRESERVATIVES

Horbaach
",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,"Horbaach

100%

HIGHEST
QUALITY

HIGH STRENGTH

pSYLLIUM
HUSK

PLANTAGO OVATA
PLANT SEEDS

>,

Horbaach
",item_weight,1400 milligram
731432,https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,"NEW LOOK.
SAME Nea LES QUALITY.

Horbaach

Sitio
PSYLLIUM

HUSK

. @ 365 sci)

~ Horbaach
",item_weight,1400 milligram
